Date,State,Handgun,Longgun,Multiples,Totals,Year,Month
2016-12-01,Alabama,13733.0,17519.0,533,62014,2016,12
2016-12-01,Alaska,4087.0,3698.0,191,8786,2016,12
2016-12-01,Arizona,18024.0,13785.0,703,44887,2016,12
2016-12-01,Arkansas,9192.0,13433.0,385,29926,2016,12
2016-12-01,California,63649.0,93224.0,0,298161,2016,12
2016-12-01,Colorado,25905.0,21134.0,1426,55428,2016,12
2016-12-01,Connecticut,8003.0,3153.0,0,17825,2016,12
2016-12-01,Delaware,2689.0,2981.0,117,6356,2016,12
2016-12-01,District of Columbia,60.0,5.0,2,71,2016,12
2016-12-01,Florida,69842.0,39880.0,2595,144983,2016,12
2016-12-01,Georgia,23875.0,22613.0,844,68269,2016,12
2016-12-01,Guam,105.0,51.0,8,172,2016,12
2016-12-01,Hawaii,0.0,0.0,0,1141,2016,12
2016-12-01,Idaho,5471.0,7074.0,210,17034,2016,12
2016-12-01,Illinois,29658.0,17164.0,1031,137994,2016,12
2016-12-01,Indiana,30248.0,21688.0,911,95672,2016,12
2016-12-01,Iowa,391.0,4822.0,3,18090,2016,12
2016-12-01,Kansas,8494.0,10473.0,415,22282,2016,12
2016-12-01,Kentucky,17311.0,16766.0,673,397059,2016,12
2016-12-01,Louisiana,18412.0,22848.0,901,51493,2016,12
2016-12-01,Maine,4641.0,4713.0,187,10528,2016,12
2016-12-01,Mariana Islands,0.0,0.0,0,0,2016,12
2016-12-01,Maryland,4925.0,8870.0,33,17984,2016,12
2016-12-01,Massachusetts,7050.0,3884.0,197,19842,2016,12
2016-12-01,Michigan,14879.0,14328.0,245,47834,2016,12
2016-12-01,Minnesota,12431.0,12851.0,426,60056,2016,12
2016-12-01,Mississippi,13168.0,17231.0,529,36091,2016,12
2016-12-01,Missouri,29770.0,27013.0,1234,63289,2016,12
2016-12-01,Montana,3822.0,5832.0,220,12610,2016,12
2016-12-01,Nebraska,268.0,3697.0,6,8790,2016,12
2016-12-01,Nevada,6783.0,4696.0,411,14889,2016,12
2016-12-01,New Hampshire,6625.0,4225.0,1,14305,2016,12
2016-12-01,New Jersey,5394.0,4979.0,0,10577,2016,12
2016-12-01,New Mexico,7484.0,7149.0,331,17518,2016,12
2016-12-01,New York,12074.0,22585.0,248,40292,2016,12
2016-12-01,North Carolina,2163.0,28023.0,285,65145,2016,12
2016-12-01,North Dakota,1799.0,2927.0,81,6261,2016,12
2016-12-01,Ohio,40996.0,29641.0,1531,88178,2016,12
2016-12-01,Oklahoma,17990.0,19418.0,1060,43082,2016,12
2016-12-01,Oregon,18931.0,16010.0,0,35754,2016,12
2016-12-01,Pennsylvania,64220.0,18688.0,0,111913,2016,12
2016-12-01,Puerto Rico,1334.0,256.0,28,1664,2016,12
2016-12-01,Rhode Island,1283.0,953.0,210,2542,2016,12
2016-12-01,South Carolina,15600.0,14782.0,425,43044,2016,12
2016-12-01,South Dakota,3525.0,5131.0,220,10739,2016,12
2016-12-01,Tennessee,36917.0,30997.0,0,74884,2016,12
2016-12-01,Texas,69163.0,69272.0,3208,181572,2016,12
2016-12-01,Utah,6428.0,9257.0,0,29485,2016,12
2016-12-01,Vermont,1802.0,1998.0,74,3977,2016,12
2016-12-01,Virgin Islands,15.0,5.0,0,67,2016,12
2016-12-01,Virginia,32572.0,27619.0,0,62649,2016,12
2016-12-01,Washington,21835.0,16484.0,706,59181,2016,12
2016-12-01,West Virginia,10869.0,11628.0,543,27242,2016,12
2016-12-01,Wisconsin,16521.0,15036.0,37,56928,2016,12
2016-12-01,Wyoming,2540.0,2984.0,119,6560,2016,12
2016-11-01,Alabama,10214.0,13470.0,599,50477,2016,11
2016-11-01,Alaska,3396.0,4019.0,249,8514,2016,11
2016-11-01,Arizona,14850.0,11994.0,829,39722,2016,11
